Title,Brand,RAM,HDD,CPU Model,Screen Size,Graphics,Rating,Price
"HP ZBook Firefly 40.6 cm (16) G11 Mobile Workstation PC, Silver",HP,32 GB,1 TB,Ultra 7,16,Intel,0.0,"₹149,999"
HP EliteBook 840 35.6 cm (14) G11 Business Laptop PC,HP,16 GB,1 TB,Ultra 7,14,Intel,4.7,"₹129,999"
HP ZBook Firefly 35.6 cm (14) G11 Mobile Workstation PC,HP,32 GB,1 TB,Ultra 7,14,Nvidia,5.0,"₹164,999"
HP ZBook Firefly 40.6 cm (16) G11 Mobile Workstation PC,HP,32 GB,1 TB,Ultra 7,16,Nvidia,5.0,"₹165,999"
HP Elite x360 830 33.8 cm (13) G11 2-in-1 Business Laptop PC,HP,32 GB,1 TB,Ultra 7,13.3,Intel,4.5,"₹178,999"
HP ZBook Firefly 35.6 cm (14) G11 Mobile Workstation PC,HP,16 GB,512 GB,Ultra 7,14,Intel,0.0,"₹115,999"
"HP EliteBook 845 35.6 cm (14) G10 Business Laptop, Silver",HP,16 GB,512 GB,Ryzen™ 7,14,AMD,4.3,"₹106,499"
"HP Elitebook Ultra 35.6 cm (14) G1q Business Laptop AI PC, Blue",HP,16 GB,1 TB,NA,14,Other,5.0,"₹168,999"
HP ZBook Firefly 35.6 cm (14) G11 Mobile Workstation PC,HP,16 GB,512 GB,Ultra 5,14,Intel,0.0,"₹79,999"
HP ZBook Firefly 40.6 cm (16) G11 Mobile Workstation PC,HP,16 GB,1 TB,Ultra 7,16,Intel,4.0,"₹141,999"
HP EliteBook 1040 35.6 cm (14) G11 Business Laptop PC,HP,16 GB,1 TB,Ultra 7,14,Intel,4.0,"₹168,999"
HP ZBook Power 39.6 cm (15.6) G10 Mobile Workstation PC,HP,32 GB,1 TB,i9,15.6,Nvidia,4.5,"₹238,199"
"HP ZBook Firefly 35.6 cm (14) G11 Mobile Workstation PC, Silver",HP,16 GB,1 TB,Ultra 7,14,Nvidia,0.0,"₹156,999"
HP ZBook Firefly 35.6 cm (14) G11 Mobile Workstation PC,HP,16 GB,512 GB,Ultra 5,14,Intel,0.0,"₹92,999"
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,HP,16 GB,1 TB,Ultra 7,16,Nvidia,0.0,"₹181,999"
HP EliteBook 640 35.6 cm (14) G9 Business Laptop PC,HP,16 GB,NA,i5,14,Intel,4.6,"₹98,999"
HP ZBook Firefly 35.6 cm (14) G11 Mobile Workstation PC,HP,16 GB,512 GB,Ultra 7,14,Intel,0.0,"₹102,999"
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,HP,32 GB,1 TB,Ultra 7,16,Nvidia,0.0,"₹204,999"
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,HP,32 GB,1 TB,Ultra 7,16,Nvidia,0.0,"₹223,999"
"HP ZBook Fury 40.6 cm (16) G10 Mobile Workstation PC, Silver",HP,32 GB,1 TB,i9,16,Nvidia,0.0,"₹495,999"
"HP ZBook Firefly 35.6 cm (14) G10 A Mobile Workstation PC, Silver",HP,16 GB,512 GB,Ryzen™ 5,14,AMD,0.0,"₹99,999"
"HP ZBook Firefly 35.6 cm (14) G10 A Mobile Workstation PC, Silver",HP,32 GB,1 TB,Ryzen™ 9,14,AMD,1.0,"₹157,999"
"HP ZBook Fury 40.6 cm (16) G10 Mobile Workstation PC, Silver",HP,32 GB,1 TB,i9,16,Nvidia,3.0,"₹379,999"
"HP ZBook Studio 40.6 cm (16) G10 Mobile Workstation PC, Silver",HP,32 GB,1 TB,i9,16,Nvidia,5.0,"₹413,999"
HP EliteBook 640 35.6 cm (14) G9 Business Laptop PC,HP,16 GB,NA,i5,14,Intel,4.6,"₹94,499"
HP ZBook Firefly 35.6 cm (14) G11 Mobile Workstation PC,HP,16 GB,1 TB,Ultra 5,14,Intel,5.0,"₹125,999"
"HP ZBook Firefly 35.6 cm (14) G11 Mobile Workstation PC, Silver",HP,16 GB,1 TB,Ultra 7,14,Intel,0.0,"₹140,999"
"HP ZBook Firefly 35.6 cm (14) G10 A Mobile Workstation PC, Silver",HP,16 GB,1 TB,Ryzen™ 9,14,AMD,0.0,"₹147,999"
HP ZBook Firefly 40.6 cm (16) G11 Mobile Workstation PC,HP,16 GB,1 TB,Ultra 7,16,Nvidia,0.0,"₹157,999"
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,HP,32 GB,1 TB,Ultra 7,16,Nvidia,0.0,"₹189,999"
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,HP,16 GB,1 TB,Ultra 7,16,Nvidia,0.0,"₹196,999"
HP ZBook Power 39.6 cm (15.6) G10 A Mobile Workstation PC,HP,32 GB,1 TB,Ryzen™ 9,15.6,Nvidia,0.0,"₹204,999"
"HP ZBook Power 39.6 cm (15.6) G10 A Mobile Workstation PC, Silver",HP,16 GB,1 TB,Ryzen™ 9,15.6,Nvidia,0.0,"₹219,999"
HP ZBook Power 40.6 cm (16) G11 Mobile Workstation PC,HP,32 GB,1 TB,Ultra 9,16,Nvidia,0.0,"₹246,999"
HP ZBook Fury 40.6 cm (16) G10 Mobile Workstation PC,HP,32 GB,1 TB,i7,16,Nvidia,0.0,"₹331,499"
"HP ZBook Studio 40.6 cm (16) G10 Mobile Workstation PC, Silver",HP,32 GB,1 TB,i9,16,Nvidia,5.0,"₹351,999"
HP ZBook Studio 40.64cm (16) G10 Mobile Workstation PC,HP,32 GB,1 TB,i7,16,Nvidia,0.0,"₹365,499"
HP ZBook Fury 40.6 cm (16) G10 Mobile Workstation PC,HP,32 GB,1 TB,i9,16,Nvidia,0.0,"₹412,999"
HP ZBook Studio 40.64cm (16) G10 Mobile Workstation PC,HP,32 GB,2 TB,i9,16,Nvidia,5.0,"₹419,499"
"HP ZBook Fury 40.6 cm (16) G10 Mobile Workstation PC, Silver",HP,32 GB,1 TB,i7,16,Nvidia,0.0,"₹457,999"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1414TX, Blue",HP,4GB,16 GB,i7,15.6,Nvidia,0.0,"₹86,263"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1422TX, Silver",HP,4GB,8 GB,i5,15.6,Nvidia,0.0,"₹67,093"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1413TX, Blue",HP,4GB,16 GB,i5,15.6,Nvidia,0.0,"₹76,678"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1415TX, Blue",HP,4GB,16 GB,i7,15.6,Nvidia,0.0,"₹82,000"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1312TX, Silver",HP,4GB,8 GB,i5,15.6,Nvidia,4.3,"₹58,719"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16, Black",HP,32 GB,1 TB,Ryzen™ 7,16.1,Nvidia,4.5,"₹133,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16, Black",HP,16 GB,1 TB,Ryzen™ 7,16.1,Nvidia,4.5,"₹104,999"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1317TX, Blue",HP,6GB,16 GB,i5,15.6,Nvidia,4.3,"₹85,500"
HP 250 39.6 cm (15.6) G9 Business Laptop PC,HP,8 GB,NA,Celeron,15.6,Intel,4.6,"₹27,999"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fb0050AX, Silver",HP,8 GB,512 GB,Ryzen™ 5,15.6,Nvidia,4.3,"₹59,549"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16-wd0011TX, Black",HP,6GB,16 GB,i7,16.1,Nvidia,4.1,"₹121,999"
"HP Laptop 39.6 cm (15.6) 15-fd1099TU, Silver",HP,16 GB,512 GB,i5,15.6,Intel,4.3,"₹72,999"
HP 240 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,i5,14,Intel,3.9,"₹63,999"
"HP ProBook 440 35.6 cm (14) G9 Business Laptop, Silver",HP,16 GB,512 GB,i5,14,Intel,4.4,"₹87,499"
"HP Victus 40.9 cm (16.1) Gaming Laptop 16, Blue",HP,16 GB,1 TB,Ryzen™ 7,16.1,Nvidia,4.5,"₹82,999"
"HP ProBook 440 35.6 cm (14) G9 Business Laptop, Silver",HP,16 GB,512 GB,i5,14,Intel,4.4,"₹87,499"
"HP Victus 40.9 cm (16.1) Gaming Laptop 16, Blue",HP,16 GB,1 TB,Ryzen™ 7,16.1,Nvidia,4.5,"₹82,999"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1332TX, Silver",HP,6GB,16 GB,i7,15.6,Nvidia,4.3,"₹104,999"
"HP Envy x360 33.8 cm (13.3) 2-in-1 Laptop 13-bf0121TU, Silver",HP,16 GB,512 GB,i5,13.3,Intel,4.3,"₹89,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16-wf1096TX, Black",HP,8GB,16 GB,i7,16.1,Nvidia,4.6,"₹142,999"
HP 240R 35.6 cm (14) G9 Business Laptop PC,HP,16 GB,NA,i5,14,Intel,0.0,"₹64,999"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1278TX, Blue",HP,6GB,16 GB,i5,15.6,Nvidia,4.3,"₹82,238"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fb0108AX, Silver",HP,8 GB,512 GB,Ryzen™ 5,15.6,AMD,4.3,"₹53,419"
