,Brand,Screen_Size,CPU_Model,Ram,Rating,Graphics,Disk_size,Price
124,MSI,17.3,i9,32.0,4.3,Nvidia,1024.0,278718.0
125,MSI,14.0,i5,16.0,0.0,Nvidia,512.0,83935.2
126,MSI,16.0,i9,16.0,0.0,Nvidia,1024.0,182424.58
127,MSI,15.6,i7,32.0,3.7,Nvidia,512.0,213199.18
128,MSI,14.0,i7,8.0,1.0,Intel,512.0,65518.0
129,EXCaliberPC,15.6,i7,16.0,0.0,Nvidia,1024.0,121278.0
130,MSI,15.6,i5,16.0,5.0,Nvidia,512.0,87274.23999999999
131,MSI,15.6,i7,16.0,0.0,Nvidia,512.0,106518.0
132,MSI,15.6,i7,16.0,4.5,Nvidia,512.0,77818.0
133,MSI,17.3,i7,64.0,4.2,Nvidia,512.0,163997.54
134,MSI,14.0,i5,8.0,2.0,Intel,512.0,62893.18
135,MSI,17.3,i7,16.0,0.0,Nvidia,1024.0,245918.0
136,MSI,15.6,i7,32.0,0.0,Nvidia,1024.0,168018.0
137,MSI,15.6,i5,8.0,4.5,Nvidia,256.0,46337.380000000005
138,MSI,15.6,i7,32.0,0.0,Nvidia,1024.0,151699.18
139,EXCaliberPC,17.3,i7,64.0,0.0,Nvidia,4096.0,302990.0
140,MSI,15.6,i7,4.0,4.8,Nvidia,1024.0,131118.0
141,EXCaliberPC,13.4,i7,32.0,0.0,Intel,1024.0,127018.0
142,MSI,15.6,i7,8.0,4.2,Nvidia,512.0,92208.18
143,MSI,15.6,i7,32.0,4.2,Nvidia,1024.0,163999.18
144,EXCaliberPC,15.6,i7,32.0,0.0,Nvidia,1024.0,217218.0
145,MSI,15.6,i5,8.0,0.0,Nvidia,512.0,86017.18000000001
146,MSI,14.0,i5,16.0,0.0,Intel,512.0,90118.0
147,MSI,17.3,i7,32.0,4.7,Nvidia,1024.0,163918.0
148,EXCaliberPC,17.3,i7,32.0,5.0,Nvidia,1024.0,147518.0
149,EXCaliberPC,17.0,i9,64.0,0.0,Nvidia,2048.0,360718.0
150,MSI,15.6,i7,8.0,4.3,Nvidia,1024.0,81999.18000000001
151,MSI,17.3,i9,32.0,0.0,Nvidia,1024.0,245918.0
152,MSI,15.6,i7,8.0,4.4,Nvidia,512.0,56578.36
153,MSI,17.3,i9,32.0,4.6,Nvidia,1024.0,409918.0
154,EXCaliberPC,16.0,i7,64.0,0.0,Nvidia,1024.0,190158.0
155,MSI,15.6,ryzen5,8.0,2.0,Other,256.0,57318.0
156,MSI,15.6,i7,8.0,5.0,Nvidia,512.0,72814.36
157,MSI,15.6,i7,64.0,4.2,Nvidia,1024.0,229518.0
158,EXCaliberPC,17.3,i9,32.0,5.0,Nvidia,2048.0,282818.0
159,MSI,14.0,i7,16.0,0.0,Intel,512.0,98318.0
160,MSI,15.6,i9,16.0,4.0,Intel,1024.0,138190.5
161,MSI,17.3,i7,16.0,4.0,Nvidia,512.0,139806.72
