Brand,Screen_Size,CPU_Model,Ram,Rating,Graphics,Disk_size,Price
HP,14.0,ultra5,16.0,4.1,Intel,512.0,90999.0
HP,13.3,i7,32.0,4.4,Intel,512.0,134999.0
HP,14.0,i7,16.0,4.4,Intel,512.0,117999.0
HP,14.0,i7,32.0,4.4,Intel,512.0,123999.0
HP,14.0,ultra7,32.0,0.0,Intel,32.0,148999.0
HP,14.0,i7,32.0,4.6,Intel,1024.0,143999.0
HP,14.0,i7,32.0,4.4,Intel,1024.0,147999.0
HP,16.0,ultra9,32.0,0.0,Nvidia,1024.0,263999.0
HP,16.0,i5,16.0,4.5,Nvidia,512.0,131999.0
HP,16.0,i7,16.0,4.2,Intel,1024.0,148999.0
HP,15.6,i7,16.0,4.9,Nvidia,1024.0,173499.0
HP,15.6,ryzen7,32.0,0.0,Nvidia,1024.0,179999.0
HP,16.0,ultra7,16.0,0.0,Nvidia,1024.0,215999.0
HP,16.0,ultra7,32.0,0.0,Nvidia,1024.0,255999.0
HP,16.0,ultra9,64.0,0.0,Nvidia,1024.0,289999.0
HP,16.0,ultra9,64.0,0.0,Nvidia,1024.0,299999.0
HP,16.1,i7,12.0,0.0,Nvidia,32.0,379999.0
HP,15.6,i5,4.0,4.3,Nvidia,16.0,61899.0
HP,15.6,i5,4.0,4.3,Nvidia,16.0,70499.0
HP,15.0,ryzen5,8.0,4.6,AMD,512.0,59999.0
HP,15.6,i5,16.0,4.5,Intel,512.0,60999.0
HP,15.6,ryzen5,16.0,4.3,Nvidia,512.0,63048.0
HP,15.6,i5,16.0,4.2,Nvidia,512.0,72649.0
HP,15.6,ryzen5,8.0,0.0,AMD,512.0,38999.0
HP,15.6,ryzen5,8.0,4.4,AMD,512.0,39499.0
HP,14.0,celeron,4.0,4.0,Intel,64.0,26999.0
HP,14.0,i5,8.0,4.3,Intel,512.0,64999.0
HP,15.6,i5,8.0,0.0,Intel,512.0,65499.0
HP,16.0,i7,32.0,4.4,Intel,1024.0,195999.0
HP,15.6,ryzen3,8.0,4.4,AMD,512.0,38699.0
HP,14.0,ryzen5,8.0,3.0,AMD,512.0,38999.0
HP,14.0,ryzen3,8.0,3.0,AMD,512.0,39999.0
HP,15.6,i3,8.0,4.6,Intel,512.0,42999.0
HP,15.6,ryzen5,8.0,4.5,AMD,256.0,44500.0
HP,15.6,i5,8.0,4.6,Intel,512.0,53999.0
HP,14.0,i7,8.0,0.0,Intel,512.0,57999.0
HP,14.0,i3,8.0,4.2,Intel,512.0,58999.0
HP,14.0,i5,8.0,4.2,Intel,512.0,64099.0
HP,14.0,i5,8.0,4.3,Intel,512.0,64999.0
HP,14.0,i5,8.0,0.0,Intel,512.0,65999.0
