,Title,Brand,Screen_Size,CPU_Model,Ram,Operating_System,Rating,Color,Graphics,Disk_size,Card_desc,Price
1411,"dell inspiron 16 plus 7610 laptop, 16.0"" 3k 16:10 display, intel core i7-11800h, 64gb ddr4 ram, 2tb ssd, webcam, backlit keyboard, fingerprint reader, hdmi, wi-fi 6, windows 11 home",Dell,16.0,i7,64.0,windows 11,4.3,blue,Intel,2048,Integrated,123738.0
1412,"asus 2022 14"" fhd chromebook laptop, intel core m3-8100y processor, 8gb ram, 64gb emmc flash memory, backlit keyboard, intel graphics, hd webcam, chrome os, silver, 32gb snowbell usb card",ASUS,14.0,i3,8.0,chrome_os,2.3,silver,Intel,64,Integrated,15498.0
1413,"asus zenbook duo ux481 14” fhd nanoedge bezel touch, intel core i7-10510u, 8gb ram, 512gb pcie ssd, innovative screenpad plus, windows 10 home, ux481fa-db71t, celestial blue",ASUS,14.0,i7,8.0,windows 10,4.5,blue,Intel,256,Integrated,102418.0
1414,"2022 newest asus ultra thin light laptop computer, 15.6"" fhd display, intel celeron n4020 (upto 2.8ghz), 4gb ram, 128gb emmc,wifi, backlit keyboard,8-hour battery, microsoft 365, win10 s+hubxcelcable",ASUS,15.6,celeron,4.0,windows 10,4.0,other,Intel,128,other,24518.0
1415,asus e410 intel celeron n4020 4gb 128gb emmc 14-inch hd led win 10 laptop (blue),ASUS,14.0,i3,4.0,windows 10,4.3,blue,Intel,128,Integrated,14759.18
1416,"asus zenbook pro 16 laptop 16"" 165hz refresh rate display, intel i7-12650h cpu, dialpad, nvidia geforce rtx 3070 ti graphics, 32gb ram, 1tb ssd, windows 11 home, tech black, ux6601zw-db76",ASUS,16.0,i7,64.0,windows 11,3.5,black,Nvidia,1024,Dedicated,172199.18
1417,"asus zenbook 13 ultra-slim laptop, 13.3 oled nanoedge, intel evo platform i5-1135g7, 8gb lpddr4x ram, 256gb ssd, thunderbolt 4, wi-fi 6, windows 11 home, ai noise-cancellation, pine grey, ux325ea-dh51",ASUS,13.3,i5,8.0,windows 11,4.4,other,Intel,256,Integrated,58449.6
1418,"asus vivobook 14"" fhd 1080p laptop, intel core i3-1115g4, 8gb ram, 512gb pcie ssd, fingerprint reader, backlit keyboard, hdmi, wifi, webcam, windows 11 home, slate grey",ASUS,14.0,i3,8.0,windows 11,4.8,other,Intel,256,other,34768.0
1419,"asus vivobook 15x oled laptop, 15.6"" oled display, amd ryzen 7 5800h cpu, amd radeon gpu, 16gb ram, 512gb ssd, windows 11 home, quiet blue, m1503qa-es74",ASUS,15.6,ryzen7,16.0,windows 11,4.1,blue,AMD,512,Integrated,73799.18000000001
1420,"asus vivobook 15 f515 thin and light laptop, 15.6” fhd display, intel core i3-1005g1 processor, 4gb ddr4 ram, 128gb pcie ssd, fingerprint reader, windows 10 home in s mode, slate grey, f515ja-ah31",ASUS,15.6,i3,4.0,windows 10,4.5,other,Intel,128,Integrated,22058.0
1421,"asus chromebook c425 clamshell laptop, 14"" fhd 4-way nanoedge touch screen, intel core m3-8100y processor, 4gb ram, 128gb emmc storage, backlit kb, silver, chrome os, c425ta-as348ft",ASUS,14.0,i3,4.0,chrome_os,4.3,silver,Intel,128,Integrated,19101.899999999998
1422,"asus tuf fx505dt gaming laptop- 15.6"", 120hz full hd, amd ryzen 5 r5-3550h processor, geforce gtx 1650 graphics, 8gb ddr4, 256gb pcie ssd, rgb keyboard, windows 10 64-bit - fx505dt-ah51",ASUS,15.6,ryzen5,8.0,windows 10,4.4,black,Nvidia,256,Dedicated,54858.0
1423,"samsung 2017 newest premium high performance 11.6 hd chromebook - intel atom x5, 2gb ddr3, 16gb emmc hard drive, 802.11ac, bluetooth, hdmi, hd webcam, usb 3.0, chrome os",SAMSUNG,11.6,i3,2.0,chrome_os,4.1,black,Intel,16,Integrated,14431.18
1424,"asus chromebook detachable cm3, 10.5"" touchscreen wuxga 16:10 display, mediatek 8183 processor 64gb storage, 4gb ram, garaged usi stylus, chrome os, aluminum, mineral gray, cm3000dva-ds44t-s",ASUS,10.5,i3,4.0,chrome_os,4.2,gray,Other,64,Integrated,21532.379999999997
1425,"samsung chromebook, 11.6"" hd display, intel celeron n4020, 4 gb ddr4 ram, 32 gb emmc, intel uhd graphics 600, chrome os, platinum titan w/ md accessories",SAMSUNG,11.0,celeron,4.0,chrome_os,0.0,other,Intel,32,Integrated,11398.0
1426,"samsung high performance chromebook computer, intel dual-core celeron n3060 up to 2.48ghz, 11.6 inch wled hd display, 4gb ddr3, 32gb emmc, 802.11ac, hdmi, chrome os",SAMSUNG,11.6,celeron,4.0,chrome_os,4.3,black,Intel,32,Integrated,22796.0
1427,"dell xps 9000 15 9520 15.6"" notebook - fhd+ - 1920 x 1200 - 32 gb total ram - 1 tb ssd - platinum silver, black",Dell,15.6,i7,32.0,windows 11,0.0,silver,Other,1024,other,188518.0
1428,"2022 hp stream 14in hd display, intel celeron n4020 dual-core processor, 4gb ddr4 memory, 128gb storage (64gb emmc+64gb card), hdmi, wifi, webcam, bluetooth,1-year microsoft 365 win10 s | tgcd bundle",HP,14.0,celeron,4.0,windows 10,4.6,gold,Other,64,Integrated,27059.18
1429,dell inspiron 13 5000 5310 premium laptop i 13.3 inch full hd+ (300 nits) i 11th gen intel 4-core i5-11320h i 16gb ddr4 512gb ssd i intel iris xe graphics i thunderbolt hdmi backlit wifi6 win10 silver,Dell,13.3,i5,16.0,windows 11,5.0,silver,Intel,512,Integrated,49293.479999999996
1430,"dell inspiron 15 3000 business and student laptop (2021 latest model), 15.6"" hd display, intel n4020 dual-core processor, 16gb ram, 1tb ssd, webcam, hdmi, bluetooth, wi-fi, black, windows 10",Dell,15.6,celeron,16.0,windows 10,4.0,black,Intel,1024,Integrated,45015.54
1431,"dell inspiron 15.6"" laptop, amd ryzen 5 processor (up to 3.5 ghz), amd radeon vega 8 graphics, 8gb ddr4 ram, 256gb pcie ssd, full keyboard, webcam, hdmi, wifi, windows 11 home, carbon black",Dell,15.6,ryzen5,8.0,windows 11,5.0,black,AMD,256,Integrated,44279.18
