Brand,Screen_Size,CPU_Model,Ram,Rating,Graphics,Disk_Size,Price
asus,17.3,celeron,4.0,4.279166666666667,intel,64.0,22959.18
acer,13.3,i5,8.0,4.332795698924731,intel,512.0,32799.18
acer,15.6,ryzen5,8.0,4.332795698924731,amd,512.0,43137.740000000005
acer,14.0,ryzen7,16.0,4.332795698924731,nvidia,1024.0,77818.0
acer,14.0,i5,8.0,4.332795698924731,intel,512.0,76259.18000000001
acer,11.6,i3,4.0,4.332795698924731,amd,64.0,12751.0
acer,15.6,i7,32.0,4.332795698924731,nvidia,2048.0,159899.18
acer,15.6,i7,32.0,4.332795698924731,intel,1024.0,93398.0
acer,14.0,i7,16.0,4.332795698924731,intel,1024.0,98399.18
acer,14.0,i5,16.0,4.332795698924731,intel,512.0,76259.18000000001
acer,17.3,i5,24.0,4.332795698924731,nvidia,1024.0,76259.18000000001
acer,14.0,i3,8.0,4.332795698924731,other,512.0,35259.18
acer,15.6,i7,32.0,4.332795698924731,nvidia,2048.0,164738.0
acer,14.0,i5,8.0,4.332795698924731,intel,512.0,58219.18
acer,14.0,i5,16.0,4.332795698924731,intel,512.0,45838.0
acer,14.0,ryzen5,16.0,4.332795698924731,amd,512.0,69699.18000000001
acer,15.6,ryzen7,16.0,4.332795698924731,amd,1024.0,59778.0
panasonic,10.1,i7,8.0,3.5384615384615383,intel,256.0,204999.18
acer,15.6,i5,8.0,4.332795698924731,nvidia,512.0,72159.18000000001
acer,15.6,i3,4.0,4.332795698924731,intel,128.0,31323.18
panasonic,13.0,i7,4.0,3.5384615384615383,other,512.0,229600.0
panasonic,14.0,i7,4.0,3.5384615384615383,other,500.0,200572.0
acer,12.0,celeron,4.0,4.332795698924731,intel,32.0,13858.0
acer,15.6,ryzen3,8.0,4.332795698924731,amd,128.0,31159.18
toughbook,14.0,i7,16.0,3.733333333333333,intel,512.0,245999.18
hp,15.6,ryzen7,16.0,4.350696378830084,nvidia,1024.0,87658.0
acer,11.6,i3,4.0,4.332795698924731,intel,128.0,30735.24
msi,17.3,i9,32.0,4.345370370370371,nvidia,1024.0,229518.0
excaliberpc,17.3,i9,64.0,4.473684210526316,nvidia,2048.0,221318.0
excaliberpc,17.3,i7,32.0,4.473684210526316,nvidia,1024.0,258218.0
lg,16.0,i7,16.0,4.269230769230769,intel,512.0,98235.18
lg,16.0,i7,16.0,4.269230769230769,intel,512.0,98399.18
lg,16.0,i7,16.0,4.269230769230769,intel,2048.0,139318.0
lg,16.0,i7,16.0,4.269230769230769,intel,2048.0,147518.0
lg,16.0,i7,16.0,4.269230769230769,intel,2048.0,151618.0
lg,15.0,i3,8.0,4.269230769230769,other,512.0,120539.18
lg,16.0,i7,16.0,4.269230769230769,intel,1024.0,169969.6
lg,17.0,i3,8.0,4.269230769230769,other,512.0,136119.18
lg,14.0,i7,16.0,4.269230769230769,intel,512.0,173019.18
lg,14.0,i3,8.0,4.269230769230769,other,256.0,109059.18
lg,16.0,i7,16.0,4.269230769230769,intel,512.0,108157.18
lg,17.0,i7,16.0,4.269230769230769,nvidia,1024.0,155799.18
other,15.6,i3,4.0,4.160526315789474,other,128.0,25419.18
other,15.6,celeron,6.0,4.160526315789474,other,128.0,16236.0
other,14.0,i7,32.0,4.160526315789474,intel,1024.0,72118.18000000001
other,15.0,ryzen5,8.0,4.160526315789474,amd,256.0,40098.0
other,15.0,i5,12.0,4.160526315789474,intel,256.0,57070.36
gigabyte,15.6,i7,16.0,3.4952380952380957,nvidia,512.0,131956.86000000002
gigabyte,17.3,i7,32.0,3.4952380952380957,nvidia,32.0,186872.26
gigabyte,17.3,i7,32.0,3.4952380952380957,nvidia,32.0,188863.22
acer,17.3,i3,8.0,4.332795698924731,intel,256.0,32799.18
alienware,15.6,i7,16.0,4.069090909090909,nvidia,256.0,114784.42
alienware,17.3,i7,16.0,4.069090909090909,nvidia,1024.0,122984.42
alienware,17.3,i7,32.0,4.069090909090909,nvidia,1024.0,122995.9
alienware,17.3,i7,16.0,4.069090909090909,nvidia,512.0,245918.0
alienware,17.3,i7,16.0,4.069090909090909,nvidia,1024.0,131184.41999999998
alienware,17.3,i7,8.0,4.069090909090909,nvidia,1024.0,114795.9
alienware,15.6,i7,16.0,4.069090909090909,nvidia,1024.0,204918.0
msi,17.3,i9,64.0,4.345370370370371,nvidia,2048.0,221318.0
hp,15.6,i5,8.0,4.350696378830084,intel,512.0,45018.0
hp,15.6,i3,16.0,4.350696378830084,intel,1024.0,37638.0
hp,14.0,celeron,4.0,4.350696378830084,intel,64.0,20090.0
hp,17.3,i7,32.0,4.350696378830084,intel,1024.0,106518.0
hp,14.0,i7,16.0,4.350696378830084,intel,256.0,73799.18000000001
hp,17.3,i7,32.0,4.350696378830084,nvidia,1024.0,114718.0
